case,run_id,evidence_kind,goal_completed,completed_tasks,cumulative_planned_tasks,extra_planned_tasks,first_pass_count,retry_count,local_recovery_count,phase_count,additional_phase_count,contract_first_phase_pass,final_contract_pass,duration_seconds,tool_calls,successful_tool_calls,tool_success_rate,prompt_tokens,completion_tokens,total_tokens,estimated_cost
research_normal,research-normal-20260812,recorded_real_run,True,8,8,0,8,0,0,2,1,False,True,0.43573,8,8,1.0,,,,
research_local_recovery,research-local-recovery-20260812,recorded_real_run,True,8,11,3,7,0,1,2,1,False,True,0.505034,8,8,1.0,,,,
